,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
226,184,800,86,100,14,190,190,92,92,0,184,190,93,93,0,0.016542428265087308,0.018959120460192654,80,81,1,2,2,2,8,8,42,20,54
227,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,1,34,45,82
228,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,58,81,82
229,32,238,51,95,44,54,54,55,55,0,32,54,51,59,8,0.004901460226692535,0.010109261717553355,56,72,16,3,3,3,4,3,73,29,44
230,2,208,28,93,65,5,12,28,33,5,2,12,28,40,12,6.807583648184077e-05,0.002110350930937064,29,45,16,3,5,4,4,1,72,78,41
231,40,1680,50,100,50,82,178,45,79,34,40,178,50,87,37,0.0023486163586235067,0.041968753191054836,48,96,48,1,2,2,10,2,11,42,2
232,2,618,27,100,73,12,76,29,51,22,2,76,27,61,34,0.00034037918240920387,0.020797168045202357,31,85,54,2,5,3,6,1,65,88,16
233,92,708,59,100,41,124,124,69,69,0,92,124,59,78,19,0.009428503352734947,0.014295925661186561,68,74,6,2,3,3,9,7,29,48,13
234,38,244,49,93,44,62,62,43,43,0,38,44,49,51,2,0.002144388849177984,0.004629156880765172,46,52,6,3,3,3,7,3,43,54,90
235,66,1706,65,100,35,60,84,55,74,19,60,84,60,75,15,0.008577555396711936,0.04026685727900882,68,96,28,1,3,2,5,7,70,21,30
236,101,202,78,90,12,100,100,68,68,0,100,100,73,73,0,0.008101024541339052,0.008237176214302734,65,65,0,5,2,2,6,8,48,57,65
237,105,705,71,100,29,144,144,61,61,0,105,144,71,78,7,0.006024711528642908,0.010960209673576363,56,74,18,2,2,2,10,6,0,35,24
238,110,316,75,95,20,164,164,74,74,0,110,164,75,85,10,0.010313489226998877,0.01494264610776405,67,75,8,3,2,2,10,7,22,21,26
239,80,182,70,91,21,38,38,57,57,0,38,38,59,59,0,0.009122162088566664,0.010755982164130842,66,69,3,4,3,3,3,9,55,31,75
240,78,1678,56,100,44,206,206,76,76,0,78,206,56,91,35,0.008441403723748256,0.04309200449300521,66,95,29,1,2,2,12,7,6,62,2
241,142,1782,83,100,17,228,262,79,87,8,142,226,83,89,6,0.013819394805813677,0.02552843868069029,71,89,18,1,2,2,14,9,25,39,47
242,220,426,94,100,6,48,48,60,60,0,48,48,63,63,0,0.03094046768099663,0.03362946322202934,91,91,0,3,3,3,3,30,58,7,13
243,174,380,87,98,11,110,110,78,78,0,110,110,82,82,0,0.018040096667687803,0.020048333843902106,79,82,3,3,2,2,6,16,51,12,70
244,111,213,83,93,10,64,64,68,68,0,64,64,71,71,0,0.01405766023350012,0.0141938119064638,79,79,0,4,3,3,4,15,72,19,55
245,6,6,29,29,0,34,34,30,30,0,6,6,29,29,0,0.00013615167296368154,0.00013615167296368154,28,28,0,-1,4,4,13,1,13,65,99
246,114,320,80,94,14,176,176,87,87,0,114,176,80,88,8,0.011845195547840293,0.017325300384628477,74,81,7,3,2,2,8,6,57,77,72
247,158,364,90,100,10,72,72,80,80,0,72,72,80,80,0,0.02365635317743967,0.025188059498281085,88,88,0,3,2,2,3,20,76,23,64
248,86,292,64,96,32,86,86,56,56,0,86,86,66,66,0,0.006297014874570271,0.007420266176520644,59,63,4,3,3,3,6,6,59,13,53
249,2,2,26,26,0,10,10,27,27,0,2,2,26,26,0,3.4037918240920386e-05,3.4037918240920386e-05,26,26,0,-1,5,5,8,2,30,58,85
250,32,1672,43,100,57,124,190,57,68,11,32,162,43,86,43,0.0013615167296368155,0.021682153919466287,39,82,43,1,3,2,16,2,4,74,6
251,16,632,37,100,63,64,116,36,61,25,16,116,37,77,40,0.00037441710065012424,0.015419176963136935,35,77,42,2,3,3,11,1,19,49,15
252,58,158,55,82,27,66,66,44,44,0,58,66,55,56,1,0.009020048333843901,0.009224275843289425,67,68,1,4,3,3,6,6,51,34,63
253,112,112,76,76,0,220,220,84,84,0,112,112,76,76,0,0.008169100377820893,0.008169100377820893,62,62,0,-1,2,2,12,4,14,72,97
254,625,625,100,100,0,368,368,100,100,0,368,368,100,100,0,0.053269342047040404,0.053269342047040404,99,99,0,-1,2,2,11,36,19,2,76
255,54,156,58,88,30,76,76,52,52,0,54,56,58,58,0,0.006705469893461316,0.007726607440688927,62,63,1,4,3,3,6,4,48,38,71
256,0,206,1,92,91,0,22,1,32,31,0,22,1,42,41,0.0,0.005241839409101739,1,57,56,3,-1,4,5,0,63,93,31
257,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,0,50,81,82
258,44,44,62,62,0,32,32,69,69,0,32,32,69,69,0,0.007590455767725246,0.007590455767725246,67,67,0,-1,3,3,2,4,90,72,87
259,0,616,1,100,99,0,60,1,38,37,0,50,1,51,50,0.0,0.011164437183021887,1,69,68,2,-1,3,9,0,29,89,39
