,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
694,50,50,57.0,57.0,0.0,70,70,65.0,65.0,0.0,50,50,57.5,57.5,0.0,0.005548180673270023,0.005548180673270023,55.0,55.0,0.0,-1,5,6,45,26,59
695,136,752,83.5,100.0,16.5,104,104,86.0,86.0,0.0,104,104,86.5,86.5,0.0,0.01589570781850982,0.03693114129139862,79.0,94.0,15.0,2,5,8,50,20,11
696,544,1144,100.0,100.0,0.0,288,288,99.0,99.0,0.0,288,288,99.0,99.0,0.0,0.05320126621055856,0.0674631539535042,99.0,100.0,1.0,2,9,36,54,2,15
697,0,206,13.0,91.0,78.0,0,12,13.0,28.0,15.0,0,8,13.0,34.0,21.0,0.0,0.000442492937131965,14.0,33.0,19.0,3,5,1,52,50,63
698,154,770,90.0,100.0,10.0,88,88,81.0,81.0,0.0,88,88,82.5,82.5,0.0,0.02049082678103407,0.03955206099594949,85.0,94.0,9.0,2,4,18,47,5,10
699,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0.0,0.0,14.0,14.0,0.0,-1,6,1,69,45,79
700,26,128,47.0,84.0,37.0,94,94,39.5,39.5,0.0,26,30,47.0,47.0,0.0,0.0038462847612240037,0.0046972327172470135,51.0,54.0,3.0,4,13,6,13,73,51
701,100,100,75.0,75.0,0.0,100,100,81.0,81.0,0.0,100,100,81.0,81.0,0.0,0.06576125804145819,0.06572722012321726,100.0,100.0,0.0,6,6,40,69,3,78
702,16,118,46.0,83.0,37.0,54,54,61.0,61.0,0.0,16,18,46.5,49.5,3.0,0.004731270635487933,0.005990673610401988,56.0,58.0,2.0,4,4,1,77,90,71
703,300,916,100.0,100.0,0.0,56,56,91.0,91.0,0.0,56,56,91.0,91.0,0.0,0.051499370298512544,0.06487627216719426,98.0,98.0,0.0,2,2,36,95,2,12
704,47,663,56.0,100.0,44.0,56,66,49.5,54.0,4.5,47,66,56.0,59.0,3.0,0.004799346471969774,0.01324075019571803,56.0,74.0,18.0,2,6,6,74,35,62
