,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
118,1,207,27.0,96.0,69.0,3,18,27.0,38.0,11.0,1,13,27.0,40.0,13.0,3,3,1,75,68,29
119,73,689,67.0,100.0,33.0,78,78,79.0,79.0,0.0,73,78,78.0,79.5,1.5,2,4,4,78,22,0
120,28,644,50.0,100.0,50.0,34,34,45.5,45.5,0.0,28,34,50.0,51.5,1.5,2,4,4,79,64,15
121,200,800,91.0,100.0,9.0,88,88,79.5,79.5,0.0,88,88,80.0,80.0,0.0,2,4,16,83,18,54
122,319,525,95.0,100.0,5.0,104,104,84.0,84.0,0.0,104,104,86.0,86.0,0.0,3,5,30,61,7,26
123,46,252,60.0,95.0,35.0,38,38,65.5,65.5,0.0,38,38,67.5,67.5,0.0,3,3,5,92,25,70
124,0,206,13.0,90.0,77.0,0,32,13.0,36.5,23.5,0,32,13.0,49.5,36.5,3,6,0,74,98,21
125,28,1668,43.5,100.0,56.5,124,158,60.5,64.5,4.0,28,92,43.5,56.0,12.5,1,14,3,16,54,26
126,150,356,82.0,96.0,14.0,182,182,84.0,84.0,0.0,150,182,83.0,85.5,2.5,3,9,8,54,17,62
127,72,174,66.0,88.0,22.0,70,70,62.5,62.5,0.0,70,70,67.0,67.0,0.0,4,5,6,80,34,88
128,150,356,83.0,96.0,13.0,152,152,80.0,80.0,0.0,152,152,85.5,85.5,0.0,3,8,12,42,37,35
129,6,212,35.0,92.5,57.5,20,24,37.0,40.5,3.5,6,24,35.0,51.0,16.0,3,4,2,47,42,20
130,1,1,27.0,27.0,0.0,3,3,27.0,27.0,0.0,1,1,27.0,27.0,0.0,-1,3,1,75,68,92
131,0,206,13.0,93.0,80.0,0,8,13.0,33.0,20.0,0,8,13.0,35.5,22.5,3,2,0,68,91,41
132,82,1722,56.0,100.0,44.0,188,242,70.5,80.5,10.0,82,242,56.0,92.0,36.0,1,14,6,8,35,10
133,26,26,54.0,54.0,0.0,22,22,58.5,58.5,0.0,22,22,60.5,60.5,0.0,-1,2,6,90,41,97
134,0,1640,13.0,100.0,87.0,0,102,13.0,65.0,52.0,0,102,13.0,75.0,62.0,1,8,0,21,84,15
135,0,616,13.0,100.0,87.0,0,84,13.0,39.5,26.5,0,80,13.0,57.0,44.0,2,12,1,3,50,14
136,16,632,38.5,100.0,61.5,40,60,42.0,49.0,7.0,16,60,38.5,53.0,14.5,2,5,1,52,49,28
137,18,1658,41.0,100.0,59.0,46,100,44.5,74.5,30.0,18,100,41.0,76.0,35.0,1,6,2,65,61,2
138,6,6,31.5,31.5,0.0,32,32,31.5,31.5,0.0,6,6,31.5,31.5,0.0,-1,11,1,38,65,93
139,0,206,13.0,91.0,78.0,0,60,13.0,31.0,18.0,0,6,13.0,29.0,16.0,3,16,0,4,76,90
140,100,100,66.5,66.5,0.0,100,100,46.5,46.5,0.0,100,100,66.5,66.5,0.0,-1,14,36,16,2,69
141,100,100,65.0,65.0,0.0,100,100,46.0,46.0,0.0,100,100,65.0,65.0,0.0,-1,16,36,4,2,92
142,172,772,87.5,100.0,12.5,120,120,92.5,92.5,0.0,120,120,92.5,92.5,0.0,2,6,19,69,15,16
143,22,1662,49.0,100.0,51.0,22,46,58.5,82.0,23.5,22,46,60.5,82.5,22.0,1,2,2,90,52,3
144,32,648,49.5,100.0,50.5,28,38,50.0,63.0,13.0,32,38,55.5,63.5,8.0,2,3,3,60,29,16
145,80,286,74.0,100.0,26.0,32,32,72.0,72.0,0.0,32,32,72.0,72.0,0.0,3,2,14,89,14,2
146,86,188,66.0,92.0,26.0,70,70,58.5,58.5,0.0,70,70,65.0,65.0,0.0,4,5,6,37,13,88
