,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
807,0,206,166.5,950.0,783.5,0,23,166.5,403.5,237.0,0.0,0.0002042275094455223,198.5,568.0,369.5,3,13,0,113,871,241
808,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,200.5,200.5,0.0,-1,2,0,684,894,428
809,193,295,972.0,984.0,12.0,84,84,981.0,981.0,0.0,0.009939072126348753,0.009939072126348753,981.0,981.0,0.0,4,5,27,629,88,581
810,76,178,844.5,940.0,95.5,116,116,863.0,863.0,0.0,0.001497668402600497,0.0016338200755641784,854.0,866.5,12.5,4,11,9,220,414,579
811,0,206,166.5,969.0,802.5,0,26,166.5,643.0,476.5,0.0,0.0024507301133462676,203.5,909.0,705.5,3,5,0,290,868,119
812,0,616,166.5,991.0,824.5,0,50,166.5,481.0,314.5,0.0,0.000442492937131965,198.5,679.0,480.5,2,17,0,210,995,263
813,1,207,347.5,968.5,621.0,4,12,348.0,493.5,145.5,3.4037918240920386e-05,0.00017018959120460194,423.0,572.0,149.0,3,4,1,675,703,327
814,0,102,166.5,881.0,714.5,0,22,166.5,400.0,233.5,0.0,0.0002382654276864427,198.5,596.0,397.5,4,12,0,292,930,516
815,55,55,859.0,859.0,0.0,34,34,856.0,856.0,0.0,0.00088498587426393,0.00088498587426393,799.5,799.5,0.0,-1,4,17,491,327,745
816,66,66,874.0,874.0,0.0,50,50,900.0,900.0,0.0,0.002484768031587188,0.002484768031587188,905.0,905.0,0.0,-1,5,20,663,87,872
817,0,206,166.5,967.0,800.5,0,14,166.5,470.5,304.0,0.0,0.0004765308553728854,202.0,709.5,507.5,3,5,0,392,905,338
818,28,130,810.0,963.0,153.0,22,22,892.5,892.5,0.0,0.001055175465468532,0.0011913271384322134,823.5,836.5,13.0,4,2,7,851,303,4
819,24,125,663.5,908.0,244.5,76,76,732.0,732.0,0.0,0.0008509479560230097,0.0009190237925048504,780.5,793.5,13.0,5,10,5,310,589,430
820,0,101,166.5,895.5,729.0,0,6,166.5,343.5,177.0,0.0,0.0,203.0,203.0,0.0,5,6,0,393,859,736
821,81,182,858.0,951.0,93.0,90,90,843.0,843.0,0.0,0.0010211375472276116,0.0010892133837094523,810.5,823.0,12.5,5,10,15,427,137,687
822,0,102,165.5,925.0,759.5,0,7,165.5,391.0,225.5,0.0,0.00030634126416828345,203.5,642.5,439.0,4,5,0,908,786,584
823,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,200.0,200.0,0.0,-1,2,1,974,738,713
824,6,6,463.5,463.5,0.0,18,18,504.0,504.0,0.0,6.807583648184077e-05,6.807583648184077e-05,464.5,464.5,0.0,-1,5,1,347,799,686
825,77,179,881.0,963.0,82.0,64,64,954.5,954.5,0.0,0.00176997174852786,0.0018720855032506212,874.5,880.5,6.0,4,4,14,755,190,504
826,0,206,166.5,957.5,791.0,0,26,166.5,544.0,377.5,0.0,0.0011232513019503727,199.5,824.0,624.5,3,7,0,196,515,85
827,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,204.5,204.5,0.0,-1,3,0,577,624,513
828,0,206,166.5,975.0,808.5,0,24,166.5,750.5,584.0,0.0,0.0053099152455835805,205.0,962.0,757.0,3,4,1,491,235,32
829,21,637,625.0,994.0,369.0,53,64,617.0,694.0,77.0,0.00030634126416828345,0.0016678579938050988,640.0,861.5,221.5,2,10,4,109,645,226
830,6,6,447.5,447.5,0.0,23,23,433.5,433.5,0.0,6.807583648184077e-05,6.807583648184077e-05,469.0,469.0,0.0,-1,10,1,149,577,367
