,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
977,7,213,446,938,492,48,54,416,436,20,0.00013615167296368154,0.0007147962830593281,506,741,235,3,4,4,21,3,74,761,198
978,39,140,664,897,233,174,174,640,640,0,0.0002723033459273631,0.0002723033459273631,597,597,0,6,3,3,35,5,20,241,181
979,21,21,687,687,0,20,20,579,579,0,0.0002723033459273631,0.0002723033459273631,621,621,0,-1,4,4,4,7,504,176,779
980,20,226,683,967,284,24,24,631,631,0,0.0008509479560230097,0.0012594029749140542,783,846,63,3,4,4,4,8,532,264,256
981,0,206,1,976,975,0,7,1,501,500,0.0,0.00017018959120460194,1,560,559,3,-1,4,2,0,964,995,363
982,0,102,1,931,930,0,5,1,389,388,0.0,0.00037441710065012424,1,678,677,4,-1,5,3,0,774,971,683
983,0,206,1,968,967,0,20,1,566,565,0.0,0.0018720855032506212,1,878,877,3,-1,4,4,0,614,844,69
984,80,80,844,844,0,122,122,837,837,0,0.002757071377514551,0.002757071377514551,916,916,0,-1,2,2,13,10,97,195,851
985,6,108,449,932,483,26,26,662,662,0,0.00013615167296368154,0.0002382654276864427,506,586,80,4,4,4,5,1,663,655,305
986,24,125,622,891,269,104,104,675,675,0,0.0002042275094455223,0.0002042275094455223,567,567,0,5,3,3,17,4,23,617,437
987,126,332,924,978,54,80,80,936,936,0,0.0013955546478777359,0.0020763130126961434,851,884,33,3,3,3,5,18,571,54,114
988,134,340,928,978,50,88,88,904,904,0,0.002280540522141666,0.0030974505599237552,893,921,28,3,2,2,8,18,541,64,130
989,17,17,739,739,0,12,12,570,570,0,0.0002723033459273631,0.0002723033459273631,631,631,0,-1,4,4,4,9,860,198,455
990,6,6,462,462,0,11,11,473,473,0,0.00010211375472276115,0.00010211375472276115,489,489,0,-1,4,4,5,2,376,518,863
991,6,212,482,979,497,12,12,638,638,0,0.00010211375472276115,0.0014295925661186562,484,862,378,3,4,4,2,1,232,904,227
992,24,24,665,665,0,46,46,629,629,0,0.0002382654276864427,0.0002382654276864427,586,586,0,-1,3,3,8,4,197,230,950
993,14,14,614,614,0,16,16,527,527,0,0.00034037918240920387,0.00034037918240920387,661,661,0,-1,4,4,4,3,280,301,854
994,6,6,452,452,0,18,18,551,551,0,6.807583648184077e-05,6.807583648184077e-05,449,449,0,-1,4,4,5,1,908,870,745
995,0,206,1,931,930,0,47,1,415,414,0.0,0.0002723033459273631,1,601,600,3,-1,4,20,0,5,744,365
996,12,113,653,956,303,14,14,665,665,0,0.0002382654276864427,0.0002382654276864427,610,610,0,6,4,4,3,8,608,302,140
997,0,206,1,973,972,0,18,1,705,704,0.0,0.003642057251778481,1,942,941,3,-1,4,3,0,882,276,14
998,12,218,527,960,433,34,34,565,565,0,0.0005786446100956465,0.0007828721195411688,720,773,53,3,4,4,7,2,447,473,323
999,2,104,361,913,552,12,12,438,438,0,3.4037918240920386e-05,0.0005786446100956465,399,738,339,4,5,5,6,2,522,419,396
