,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
41,208,824,92.0,100.0,8.0,136,136,86.5,86.5,0.0,136,136,87.5,87.5,0.0,0.023520201504475986,0.027162258756254467,86.0,87.0,1.0,2,7,17,62,6,75
42,175,175,88.0,88.0,0.0,120,120,83.0,83.0,0.0,120,120,84.0,84.0,0.0,0.024166921951053473,0.024166921951053473,88.0,88.0,0.0,-1,6,15,34,16,36
43,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,13.0,13.0,0.0,-1,6,0,71,66,82
44,0,206,13.0,92.0,79.0,0,12,13.0,33.0,20.0,0,8,13.0,36.5,23.5,0.0,0.0024507301133462676,13.5,47.0,33.5,3,4,0,77,82,83
45,106,312,84.0,98.0,14.0,62,62,83.0,83.0,0.0,62,62,83.0,83.0,0.0,0.018210286258892407,0.019980258007420267,82.0,86.0,4.0,3,3,8,55,44,70
46,522,728,100.0,100.0,0.0,208,208,98.0,98.0,0.0,208,208,98.0,98.0,0.0,0.04472582456856938,0.04721059260015657,97.0,97.0,0.0,3,7,40,24,3,73
47,58,159,58.0,86.0,28.0,110,110,77.5,77.5,0.0,58,59,58.0,58.0,0.0,0.004765308553728854,0.004935498144933456,56.0,57.0,1.0,5,6,6,44,70,55
48,0,616,12.5,100.0,87.5,0,28,12.5,52.5,40.0,0,28,12.5,56.5,44.0,0.0,0.010347527145239796,13.5,73.0,59.5,2,3,0,81,36,27
49,134,340,87.0,96.0,9.0,86,86,65.0,65.0,0.0,86,86,70.0,70.0,0.0,0.016236087000919025,0.017018959120460194,80.0,82.0,2.0,3,6,18,32,30,71
50,6,6,33.0,33.0,0.0,24,24,39.0,39.0,0.0,6,6,33.0,33.0,0.0,0.0020422750944552232,0.0020422750944552232,47.0,47.0,0.0,-1,4,2,83,94,69
51,39,1679,50.0,100.0,50.0,94,128,52.5,73.5,21.0,39,128,50.0,82.0,32.0,0.004220701861874128,0.0245413390517036,52.0,88.0,36.0,1,9,4,35,22,32
52,6,622,29.0,100.0,71.0,36,54,30.0,33.0,3.0,6,24,29.0,41.0,12.0,0.00010211375472276115,0.0020082371762143027,28.0,43.0,15.0,2,14,1,8,4,83
53,100,100,71.0,71.0,0.0,100,100,50.5,50.5,0.0,100,100,71.0,71.0,0.0,0.02757071377514551,0.027740903366350114,89.0,89.0,0.0,4,13,13,13,33,88
54,0,1640,13.0,100.0,87.0,0,80,13.0,71.5,58.5,0,80,13.0,72.0,59.0,0.0,0.03458252493277511,13.5,95.0,81.5,1,5,0,49,67,37
55,56,56,62.0,62.0,0.0,28,28,51.0,51.0,0.0,28,28,54.5,54.5,0.0,0.00803294870485721,0.00803294870485721,63.5,63.5,0.0,-1,3,7,85,21,67
56,0,101,13.0,73.0,60.0,0,4,13.0,24.5,11.5,0,1,13.0,24.5,11.5,0.0,0.0002042275094455223,13.5,30.5,17.0,5,4,0,83,67,55
57,0,101,13.0,77.0,64.0,0,8,13.0,26.0,13.0,0,1,13.0,26.0,13.0,0.0,3.4037918240920386e-05,13.5,28.0,14.5,6,8,0,57,84,58
58,16,222,35.0,92.0,57.0,120,120,60.0,60.0,0.0,16,30,35.0,43.0,8.0,0.0034718676605738795,0.00442492937131965,49.0,52.0,3.0,3,10,1,0,90,64
